epoch,lr,t_l,t_err,v_err,1003d,2003d,3003d,4003d,5003d,6003d,7003d,8003d,9003d,10003d
1.0,0.0005,122.05389350691595,12.346091988589249,6.180084472758383,4.908796236986563,4.49267504809497,5.254001475464679,4.768949603379821,5.06425631706012,4.9600585954274194,5.29243606193441,5.0745036480305075,4.922321605968762,5.5543834462487
2.0,0.00048,99.76664924578657,12.757252820707727,4.455912029414711,3.45989922421626,3.344318149837492,3.6655328698242133,3.3030696838825673,3.632530943614022,3.5522316172111705,3.731609180422619,3.6818376127510613,3.559784687726296,3.8370236556758086
3.0,0.00048,72.84370371814293,11.817583491940972,3.1455465513955856,2.08743449486872,2.257537614833843,2.344427407938541,2.1560044373529044,2.383165064619008,2.3908643142597095,2.484455049830616,2.532816442692551,2.4314136654458194,2.533932125348484
4.0,0.0004608,43.93230754541343,7.998140947306978,2.2653545718745653,1.0903181959149766,1.375476651261263,1.404720875593993,1.4297892168221786,1.5404826456362062,1.6227569830668223,1.6598834113878327,1.7483384045650396,1.6734401803321461,1.6628384805963254
5.0,0.0004608,19.89911450136522,3.7906232177768544,1.827431460738019,0.5551795516081605,0.8286024791291219,1.0062114593554137,1.1074673675866866,1.2077212316802723,1.2930066611622597,1.3025886996116622,1.3752102345061987,1.3564295282899848,1.3105265812421756
6.0,0.00044236799999999995,7.258868124470314,2.017773668922807,1.8173404901270431,0.4781503270287107,0.7805904512597686,0.9679366530701102,1.0904146176660996,1.200672954410404,1.271488483705934,1.2751564191984344,1.3850254019868573,1.3743576809655234,1.3033482870386681
7.0,0.00044236799999999995,5.36388830643466,1.828878313891877,1.8157872339000407,0.47642341699788415,0.7821426731176716,0.9629122441748803,1.0880380676622199,1.2032657298648985,1.275832436873339,1.2786321113264034,1.3871637447255714,1.3789507972994672,1.3017909345786391
8.0,0.00042467327999999994,5.34927923627734,1.82743958955344,1.8126844681168945,0.47491986804742864,0.7773519763359437,0.9656665920955538,1.0852887117520058,1.2030617571961262,1.2698418670639569,1.2757648861188329,1.3829013902401526,1.370837795892942,1.3032626586121994
9.0,0.00042467327999999994,5.348580494597497,1.8279873289544484,1.8136936431753932,0.4751015341829098,0.7789061389374456,0.9627957404401363,1.085363009772757,1.201603872946842,1.2720301062801989,1.277095450397624,1.3858147997653623,1.37690658842428,1.3014285904509169
10.0,0.00040768634879999994,5.337483179828407,1.8273317310840889,1.813247621979638,0.47914836440972125,0.7799282635245288,0.966937071261412,1.0880274722526024,1.2017856731991663,1.2737995205085098,1.2761411319623839,1.3893571138791085,1.374521367031328,1.3031382685002213
